2024-07-02 00:45:02; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-07-02 00:45:02; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-07-02 00:45:02; INFO; Loopback Stream; 6416; 2172] CallLibrary Start
2024-07-02 00:45:02; INFO; Throttle Plugin; 6416; 2172] DisplayThrottleOSD: OSDType 1, OSDMessage 255, PopToast 1, Result 1
2024-07-02 00:45:02; INFO; Loopback Stream; 6416; 2172] CallLibrary End
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnSessionChange Start
2024-07-02 00:45:04; ERROR; SoulKey Plugin; 6416; 11676] UserSession:1, OnSessionChange: Event:7
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnSessionChange End
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage Start
2024-07-02 00:45:04; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage End
2024-07-02 00:45:04; INFO; GameVisual Plugin; 6416; 12868] GameVisualPlugin::ResetGVMode(): ResetGVMode() reason = WM_DISPLAYCHANGE
2024-07-02 00:45:04; ERROR; GameVisual Plugin; 6416; 12868] GameVisualPlugin::QueryDispConf(): GetDisplayConfigBufferSizes return 0x00000000

2024-07-02 00:45:05; ERROR; GameVisual Plugin; 6416; 12868] GameVisualPlugin::QueryDispConf(): GetDisplayConfigBufferSizes return 0x00000000

2024-07-02 00:45:05; INFO; GameVisual Plugin; 6416; 12868] GameVisualPlugin::GetIsGameVisualSupportedCurrentDisplayTopology(): topology_id = 1
2024-07-02 00:45:07; INFO; GameVisual Plugin; 6416; 12868] GameVisualPlugin::ResetGVMode(): RequestSplendid(200, 0, 50) Result = 0
2024-07-02 00:45:08; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage Start
2024-07-02 00:45:08; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage End
2024-07-02 00:45:08; INFO; GameVisual Plugin; 6416; 12868] GameVisualPlugin::ResetGVMode(): SetGVModeCoreNoCheck(11) Result = 0
2024-07-02 00:59:31; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-07-02 00:59:31; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-07-02 00:59:31; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] open display notiy bios bitlocker status
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-07-02 00:59:31; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-07-02 00:59:34; INFO; User Session Manager; 6416; 5828] OnSessionChange Start
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] SessionChange-Login notify bitlocker status
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-07-02 00:59:34; INFO; User Session Manager; 6416; 5828] OnSessionChange End
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-02 00:59:34; ERROR; SoulKey Plugin; 6416; 11676] UserSession:1, OnSessionChange: Event:8
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-07-02 00:59:34; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-07-02 00:59:37; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
